N;RANDIC;FUNC_N;WEINER;RINGS;Y
12;5.464101615;0;174;1;2.269230769
6;2.560660172;0;28;0;2.076923077
8;3.25;0;58;0;1.961538462
12;5.464101615;0;174;1;2.307692308
3;1.45;0;4;0;1.307692308
15;6.675426481;1;318;1;3.115384615
4;1.914213562;0;10;0;2.115384615
47;24.63918141;3;8675;3;4.576923077
9;4;0;88;0;3.115384615
2;1;0;1;0;1.153846154
4;1.914213562;0;10;0;1.692307692
12;5.060660172;1;175;0;2.961538462
12;5.060660172;1;172;0;3.076923077
12;5.207106781;0;159;1;3.192307692
2;1;0;1;0;1.307692308
32;15.8495123;4;1350;1;4.307692308
5;2.27005561;1;18;0;2.461538462
8;3.481380475;2;63;0;2.923076923
3;1.45;0;4;0;1.615384615
2;1;0;1;0;1
14;6.962760951;1;352;0;3.038461538
4;1.914213562;0;10;0;1.884615385
3;1.45;0;4;0;1.538461538
3;1.4142135623730951;0;4.0;0;1
48;21.633511589972116;4;8275.0;4;2.823529412
13;5.775874226943092;3;254.0;0;2.235294118
49;20.863602634938257;4;6911.0;4;3.470588235
19;9.27342112264952;4;754.0;0;2.882352941
36;16.322050080392863;0;3112.0;5;2
19;8.406136623843764;3;608.0;0;3
20;9.034798488049645;3;743.0;1;2.294117647
8;3.5534180126147956;2;65.0;0;1.705882353
29;12.58236444218614;2;1792.0;1;2.764705882
28;12.600852961085886;3;1640.0;2;3.294117647
21;9.40747728811182;3;774.0;1;2.470588235
3;1.4142135623730951;0;4.0;0;1.176470588
10;4.1933756729740645;1;108.0;0;1.764705882
